n,bnb_t1,bnb_t2,bnb_t3,bnb_avg,bf_time
5,0.000007,0.000004,0.000003,0.000004667,0.000016
6,0.000007,0.000003,0.000007,0.000005667,0.000008
7,0.000009,0.000005,0.000007,0.000007000,0.000020
8,0.000022,0.000012,0.000001,0.000011667,0.000094
9,0.000080,0.000012,0.000055,0.000049000,0.000654
10,0.000083,0.000192,0.000015,0.000096667,0.005374
11,0.000066,0.000185,0.000329,0.000193333,0.053291
12,0.000261,0.000094,0.000301,0.000218667,0.620553
13,0.000331,0.001015,0.000601,0.000649000,7.786247
14,0.001949,0.003494,0.001850,0.002431000,106.276025
15,0.006952,0.028169,0.006962,0.014027667,NA
16,0.000876,0.001260,0.031666,0.011267333,NA
